content,label
hey order me some take out from jason's deli,21
tweet a complaint to apple about my iphone seven,19
i didn't catch that.,5
put on the god of small things,11
play the next show on podcast,14
"have no idea, olly.",4
would you again explain the last sentence to me please.,5
are there any good movies running in nearby theaters,18
order a pizza for me,21
hi what is happening in twitter today,20
i haven't checked my facebook yet are there any updates from my close friends,20
yeah you did it exactly.,1
could not understand it.,5
i am sorry but i think that's not correct.,7
skip this episode,14
open fm,15
olly please could you just cancel.,2
tell me what's going on snap chat,20
you have got my instructions right.,1
i want to listen arijit singh song once again,13
please would you check and confirm it.,3
where is the closest kroger,17
where's the best and most affordable place to stay in san diego,17
can you play beats one radio,15
name stores within ten mile radius with music,17
tweet at koc your waiting time sucks,19
what film should i watch,18
i would like to have a sushi can you order me a lunch,21
what is your country,9
"uh no, i think not correct response.",7
could you please help me to order some sushi from deliveroo,21
i challenge you to a game of tic tac toe,12
i asked for something else.,7
whats needed to make pizza,0
let me know if i get a new personal message from martha on facebook today,20
i want to listen to treasure island by robert louis stevenson,11
"s2, do not get the last sentence.",5
would you stop please.,2
post to facebook I'm home,19
tell joke,6
post that i am going to woodland shoe store,19
open the two towers and play,11
thanks for asssistance.,8
hey olly turn the radio on,15
i like you confirm my last command please.,3
hey order a side of hot wings with my previous order,21
skip to the next song,13
"you are helpful, thanks.",8
start audiobook the time traveller,11
could you check and confirm what i last said please.,3
mario,12
jump to the next podcast,14
"thank you so much, olly.",8
kenny roger's lady play,13
will you shut up.,2
olly that would be all.,2
create a playing teams and play with them,12
where is the pharmacy in leavenworth,17
has mary posted anything to facebook today,20
i would like a joke,6
thank you so much for your helping.,8
i wish i could play video games together,12
where is the nearest pub in the city,17
could you order sushi for tonight dinner,21
please play some jazz music,13
do you have any suggestion action movies,18
recommend a movie with justin bieber,18
i appreciate answers.,8
"oh no, you've done the task wrong.",7
i need the recipe for hot cross buns,0
wonderful response to command.,1
open saga,12
what is the status on my latest order,22
please confirm my last instruction.,3
where is the nearest smoke shop,17
can you play back to december,14
"it's helpful, musch appreciated, olly.",8
tell them that their lines were too long,19
olly i will talk to you later.,2
today was a hard day,9
please play back some important points summary,11
i'm looking for a bar do you know a good one,17
move to next section,14
exact.,1
what's playing in the roosendaal cinema,18
exact response to the command.,1
are there any new snapchats,20
"s1, rephrase me more on it.",5
play music from workout playlist,13
tweet I'm complaining about to consumer service,19
what's up with my order,22
please check this info on geographics for me,9
what is the status of last take away order,22
find me a podcast on wrestling,14
tell how vegetable is cooked,0
order the usual from turiellos pizza,21
can you find an animal joke for me,6
what are my top played podcasts,14
get the next episode,14
"s2, can not get this.",5
show me latest notifications,20
can i get delivery from here,22
i want to hear a good joke,6
let's play,12
please will you explain me more on what you've said.,5
"dammit, not right response.",7
did renee just post to my facebook feed,20
can you play my favorite audio book of king kong,11
say a funny,6
show me a funny joke,6
what movie do you recommend tonight,18
running competitions on the west side,16
that was not what i meant.,7
whats the best place to eat near here,17
play the romantic songs,13
do we add rosemary in pasta,0
open radio,15
i am sorry but i think it is not the right command.,7
i want you to confirm what i last said please.,3
"that is nice work, thanks.",8
does pings have takeaway,22
i like you just cancel it.,2
you've done the command correcly.,1
resume audiobook,11
yes correct response.,1
please can you check and confirm what just said.,3
order me some chinese food,21
wrong i will repeat the command now.,7
this is unimportant to me.,4
say that again.,10
good restaurants,9
move to the next episode of hipsterhood,14
place order of one pizza,21
"no, you gave me not correct information.",7
book please,11
where is a walking trail near me,17
friend updates,9
bring up papa pear saga,12
nice to meet you,9
lets play,12
when i want it to take down notes,9
play the latest games,12
tweet freedom pop customer service i am dissatisfied,19
yeah it's confirmed.,1
you've got the command exactly.,1
how do you pan sear a porterhouse steak,0
order spaghetti from spaghetti warehouse to bring home,21
order two medium cheese and one medium pepperoni pizza from dominoes,21
"uh no, i think you have done task in wrong manner.",7
play jack johnson playlist music,13
do not really care.,4
tweet consumer service that the quantity is wrong,19
play the local r. n. b. radio station,15
i need to know if mr pizza delivers,22
"oops, i think this was not the right response.",7
i am sorry but i think you have messed up with my request.,7
find me the cheapest place to buy a new backpack,17
what things can't you do,9
sorry but i think you got it wrongly.,7
"that is unimportant, olly.",4
please play this playback on audiobook,11
"i wouldn't really mind, olly.",4
hey tell me a knock knock joke,6
"that is unimportant to me, olly.",4
could you please further elaborate me about what you have just said.,5
can you look up chinese takeout near here,21
tweet complaint to amazon products,19
i do not know.,4
"that's useful, musch appreciated, olly.",8
lets hear it from fm ninety six point five,15
resume harry potter from the place i have stopped listening to last time,11
do it again please.,10
i want to hear it again.,10
can you pause the audio,11
are you human,9
good morning isn't it a great day,9
play new songs by barenaked ladies,13
hey play crazy by britney spears,13
can you tell me what happened to my social media,20
please cook me a hamburger,0
tweet for me the complaint about drainage choke up,19
when can i pick up my chinese food,22
show me cooking websites,0
events in me area,16
what baseball games are scheduled for this week in tulsa,16
play my motivational playlist,13
"you did good job, thanks.",8
find me a good wine shop that stock old wines like older than ten years navigate me to that shop,9
what is happening in me area,16
play the next episode of a podcast,14
let's try again please.,10
order me a byron from deliveroo,21
please post so bored to facebook,19
recommend a movie playing in me area,18
what are the scores from last night's hockey games,9
look for a joke,6
can you check and confirm my last command please.,3
i want to hear what said again.,10
start up bejeweled,12
next episode of nyt podcast,14
what's happening around town,16
give me the product review from gamespot about the nintendo switch,9
where is a petrol station in five mile radius,17
what's a movie in theaters that doesn't suck,18
yeah fantastic response to command.,1
npr ted talks,14
play snake with me,12
"anything is fine to me, olly.",4
correcly.,1
please play help,13
list me the audiobooks i have already listened to,11
current status of take out order,22
retry the instruction spoke please.,10
find the correct temperature for frying a whole turkey,0
is swat a good movie,18
bring up a recipe for turkey meatballs,0
what temperature should the oil be for frying french fries,0
post this pic to facebook,19
about reality in world,9
"i don't mind for any one, olly.",4
i want to hear more audiobook,11
skip to next episode,14
"olly that's enough, stop it.",2
play howard stern on sirius,15
i am sorry but it's not the right answer.,7
olly please would you shut off.,2
"nice job, you have done well, olly.",8
you understood command perfectly.,1
show me movie times,18
if it is a consumer good then what is the customer feedback,9
are there any events going on in milan,16
send a tweet about sonys volume issues,19
play a game of chess with me,12
please will you say that one more again.,10
show me some vegan restaurants close by,17
order ribs for dinner,21
are you happy today,9
i want you to go to hot one hundred and five on the radio,15
play previous episode,14
"that is all, just cancel it.",2
has it been a busy day,9
let wendy's know i hate them,19
"s1, please clarify me about your answers once again.",5
"have no idea about what to do, olly.",4
can you tell me how to measure my shoe size,9
"nope, i did not say it.",7
thanks but i think you do not get me.,7
"it's wonderful job, thank you very much.",8
olly that's all.,2
please search for local events,16
humor me,6
does this restaurant deliver,22
you understood command exactly.,1
tweet insight cable's customer service and tell them i have been waiting on hold for thirty minutes,19
show me my husbands facebook posts today,20
i want to hear yesterday's podcast from my favorite channel,14
please explain me more on what you said.,5
what is the status of my order no,22
what's the best chicken place near me,17
play the next podcast episode,14
near pizza shops,21
skip,14
"olly that is enough, just cancel.",2
play next episode,14
keep playing the episodes in order,14
please play the early franks sinatra stuff i have,13
i would like you check detail please.,3
what should i do this weekend,16
play the next recording,14
"really don't mind, olly.",4
"thanks for reminding me, olly.",8
yeah that was fantastic.,1
yeap excellent response to the command.,1
yes wonderful response to command.,1
what's going on,16
can you play rfi,13
play fmod,12
send a tweet to kroger about being overcharged for groceries,19
that was incorrect let's try again.,7
how is the new movie swat,18
play nine hundred and seventy one,15
hows the food order going,22
could you say the sentence spoken once again please.,10
play all the latest pop songs,13
i want to hear my favorite jazz music genre,13
play latest reason podcast,14
"wait, i think that's not the right answer.",7
i'd like you just cancel.,2
"any one will be okay with me, olly.",4
play any country music station,15
resume playing the miniaturist,11
can you start ryan seacrest,15
"wouldn't really mind to choose any one, olly.",4
"s1, can you please again rephrase to me.",5
order some fried chicken from church's chicken via grubhub,21
will you stop.,2
olly please would you just stop it.,2
does this place do takeaway,22
i am unclear about your response.,5
find a recipe for homemade bread,0
i wanna laugh can you make it happen,6
could you confirm the question please.,3
is there anything happening on jazz scene around edinburgh,16
olly shut down.,2
look for this playback in audiobook and play for me,11
check my twitter notification,20
it was not clear.,5
what's the funniest joke,6
"nope, it's not the correct command.",7
how many jokes do you know,6
"hmm, i think not correct.",7
what's happening near me this week,16
play rohan sharma podcast for me,14
tweet a complaint,19
play chess with me please,12
i would like to hear what i've said again.,10
now playing,13
let's have the radio on,15
i want you to play the podcast,14
any good movies,18
send a tweet,19
what is a good place for cruise,17
yeap correcly.,1
i want to play blackjack,12
Play something random from google play,13
play r and b,13
who has written to me or mentioned me in social media,20
please read my facebook feed,20
one more again please.,10
tell me something funny,6
send a giggle my way,6
"s1, rephrase me further on it please.",5
i wouldn't know.,4
would you try that words spoke one more time again.,10
please takeaway of giving required of the restaurant,22
let's play never have i ever,12
your words was not so clear.,5
what's the best way to cook pasta,0
you have done command exactly.,1
i want to play fifa seventeen,12
show me podcasts,14
what clothes store would you recommend here,17
start my favourite podcast,14
"it's fantastic, musch appreciated.",8
what are the steps for biriyani meal,0
"uhh no, you have done task all in wrong manner.",7
could you please recommend a mexican restaurant for take out,22
i need a good chick flick any thoughts,18
put the news on bbc,15
how many notifications do i have on facebook,20
yeap it's good.,1
play thinking out loud next,13
please order some sushi for dinner,21
does dominos has a delivery option,22
could you clarify me on it further.,5
"s2, i can not understand that.",5
ah it is excellent.,8
"uhh no, i did not say that.",7
any specific event in washington,16
start up league of legends for me,12
can you please further explain me about that.,5
i would like to hear some rap music,13
nightime,9
please resume this playback in audiobook,11
anything is okay for me.,4
when is my food going to be here,22
i am not clear about your words.,5
start play spider,12
does not matter.,4
show me where i can find a hamburger,16
find me an audio book version of ready player one and play it for me,11
play the last played audiobook,11
best reviews restaurant in south sacramento,17
olly will you shut up please.,2
confirm the last thing said please.,3
show me reviews of my nearest location food court,17
can you do name that tune,12
olly shut up.,2
start spider,12
please shut off.,2
what conducts heat better copper bottomed pots or cast iron,0
hey olly make me laugh with a good joke,6
tell me what you just said once again please.,10
please look up local restaurants that are open now,17
could you please confirm if paradise does takeaway,22
get recipe for apple pie,0
how do i make cookies,0
open the grubhub app so i can order take out,21
does fridays do takeaway,22
yes right.,1
live show reminders,20
start podcasts on nfl,14
"shit, not right.",7
can you continue audiobook the circle,11
"amazing job, you have done well.",8
movies making money,9
are you real,9
please let me know what's happening to my social media,20
joke me,6
wine shop,17
will you speak one more time again.,10
order a large plain pizza from mimo's for me,21
please tell me that message spoke once more.,10
i can not quite catch up with you.,5
can you say one more again.,10
what's going on tonight in sacramento,16
"that's nice job, thank you so much.",8
"you are star, thank you so much.",8
where should i go eat tonight,17
run indian folk song,13
play radio one,15
did you get that correctly?,3
"you are hero, thank you very much.",8
amazing response to the command.,1
yes you got command exactly.,1
what are the concerts happening nearby,16
i would like to play tetris,12
start play johns audiobook,11
dont do that again.,7
let us start over.,10
yeap great response.,1
resuming playing my current audio book,11
locate me the amazon restaurants,17
sorry but i think you have messed up with command.,7
"does not matter for me, olly.",4
play for me jazz music,13
which pubs participate in the jazz festival,16
sarcastic jokes,6
latest instagram posts,20
"i appreciate it, that's amazing.",8
get the duet game,12
use google to show me how to cook,0
i'd like to listen to ninety nine point five,15
i don't think thats right.,7
open games,12
play hopsin from my latest playlist,13
where is a good place to eat cheap pakistani food,17
play music by taylor swift,13
olly i'd like you just cancel it.,2
do not care.,4
where can i get a shot of tequila and some to go mexican food,22
give me a movie for tonight,18
"perfect work, you've done well, olly.",8
yes you have done it exactly.,1
could you try what you just said one more again.,10
thanks but it's not the correct command.,7
yeah you get command exactly.,1
can you please tell me who are you,9
will you retry please.,10
find food and order,21
this weekend what events are going on in seattle,16
where is the closer starbucks,17
yes you've done your understanding correcly.,1
play one more time,13
today i had a lunch with my longtime sweetheart play me a nice song to the mood,9
speak one more time please.,10
play the jungle book,11
where can i go shopping here,17
that's confirmed.,1
please check and confirm command.,3
again elaborate.,5
play any song of arijit singh,13
tell me my friends most recent update,20
i want to know what are happening now in me area,16
i want to hear radio head please,13
"that's helpful, i appreciate it.",8
i am sorry but i think it's not the right command.,7
skip to next,14
what are the big news stories on twitter,20
order a ham and cheese sandwich from subway,21
get me some food,21
can i get delivery from dominos,22
"uh no, you gave me incorrect information.",7
would you please check and confirm what i last said.,3
please let's try it one more time again.,10
i am sorry but i think it was not the correct answer.,7
how can a cook risotto,0
send twitter to mattel that they need to stop making toys in china,19
i am ready to hear the next episode of podcast,14
do you have a joke,6
is my order ready for pick up now,22
what restaurant is open after midnight,17
thank you so much.,8
are there any interesting stuff happened today in my twitter,20
tell me again.,10
yeah exact response.,1
play pride and prejudice,11
i want to hear that again.,10
the command was confirmed.,1
olly i would like you just stop it.,2
tweet my current location,19
play me the bbc radio podcast,14
scan the radio for howard stern,15
i want to see the twitter handler of samsung,19
can you put on the giver,11
ocean eleven,18
time to hear me some blake shelton,13
"it was good one, thank you very much.",8
i would like to hear some good funny jokes,6
local events,16
where can i shop as a local tourist,17
reset.,10
yeap perfect response to the command.,1
is there any good chinese takeout that's open late,21
tweet british airways that my last flight from chicago to london was delayed,19
anything is ok for me.,4
would you shut up.,2
what movies are playing nearby,18
i need to hear a joke can you tell me one,6
check last thing said please.,3
i don't understand this question but what's it like in there,9
any one would be fine for me.,4
wouldn't bother.,4
yeap excellent response.,1
play the jazz station,15
show me painting exhibition in bay area,16
check the last thing said please.,3
i want to hear the book written by the mother of the shooter at columbine,11
yeap your understanding was confirmed.,1
new updates,20
"oops, i think you do not understand me.",7
play animal farm,11
how many eggs should i put in my cake mixture,0
switch on the radio,15
recipe for spaghetti,0
"you are my hero, thank you, olly.",8
i want to listen to today's hits,15
tell me jokes,6
olly could you just cancel please.,2
i would like to hear the last one spoken again.,10
video games,12
would you try what you said again.,10
reviews of the restaurants,22
would you tell me it one more time please.,10
let's play space invaders,12
can i see my facebook feed,20
i would like to crack jokes,9
where is the nearest olive garden,17
post the following as a status on facebook,19
what's going on around the neighborhood,16
order a pizza from pizza express,21
latest movie releases,18
you have done that perfectly.,1
would you do it again.,10
start podcast,14
customer service from microsoft never called me back,19
i want two burgers and one coke order it fast,21
i need you to find a good channels to listen to,15
play music playlist,13
did you get last thing said correctly?,3
skip to the next episode of this podcast,14
"s1, would you explain me about what you have just said once again.",5
play the electronic playlist,13
yeah you did the command correcly.,1
whats happening in ny,16
i want to listen to the podcast of the super bowl this past year,14
play the radio music band,15
ah that was great work.,8
get recipe for making a hotdog,0
Show chicken tikka recipe,0
take me to music player,13
"you are helpful, appreciated.",8
tweet to mcdonalds saying that i found a hair in their burger,19
yeah you have got your understanding perfectly.,1
can you elaborate me on your answers again.,5
yes it was perfect.,1
resume last playlist,13
"uh no, you've done in wrong manner.",7
go to social media and post the following status,19
"it's helpful, appreciated.",8
yeah fantastic response to the command.,1
tell funny things,6
"you are the best,.",8
recommend a blue grass band event within twenty miles of manchester ma this week,16
send a tweet to national grid,19
"you are my star, thank you so much, olly.",8
olly will you shut off.,2
play all songs by metallica on shuffle,13
that is correct.,1
tweet something for me,19
start podcast mlb daily,14
put the song sung by shreya at the top,13
does brick grill deliver,22
would you shut up please.,2
"uhh no, that isn't what i was looking for.",7
hi what is the hot topic in facebook,20
i am not so clear about that.,5
tell me where the local shopping district is,17
show me a map of everywhere the cat has been this week,9
complain to amazon customer service for me,19
does paradise has takeaway,22
open radio frequency ninety nine point five,15
what kind of event is happening around me,16
please negative response tweet on daikin service,19
i'm in the mood to order takeaway,21
"wait, i think that's not the correct command.",7
"it was nice one, thanks.",8
please speak one more time again.,10
what are the show times for logan at the nearby theatre,18
please would you cancel it.,2
i don't get this.,5
will you please play the next episode of podcast,14
please can you say it one more time again.,10
"oh that's good, olly.",8
load a fun game that i can play with you,12
"would not really care, olly.",4
rephrase me about what you've said further please.,5
have pho send three egg rolls,21
"that's enough, stop.",2
what's going on on fb,20
can you be my best friend,9
i think you have done the task all wrong.,7
you've done it right thank you so much.,8
can you please check command.,3
retry the last spoken.,10
what's some upcoming events i might want to go to,16
search events and meetups for central park west,16
play hot ninety seven,15
"hmm, i did not ask for this response.",7
yeap correct response to the command.,1
take me to the most popular post,20
how long until my order is ready,22
please call china wok and order number seven,21
"you did awesome job,.",8
say what you've said one more time again please.,10
yeap right.,1
order me some chipotle,21
please open blokus game i would like to play with you,12
continue onto the next podcast,14
play podcast one,14
can you prepare a cheese sandwich,0
what does rice wine go with,0
would you just cancel it please.,2
got it exactly.,1
i want you to play this game for me,12
"hmm, not correct response.",7
i would like to hear the theme song to this is us,13
please rectify the command.,7
"thank you very much, olly.",8
where's the closest zoo to where i'm at,17
how much meat should i buy to serve ten people,0
start the podcast i was last listening to,14
will you please play a podcast,14
search for a good nerd joke,6
i want to see the recipe of veg biryani,0
anything new on insta,20
olly just stop.,2
is there any salon in babaji nagar,17
post a tweet as follows very bad follow up by abc company not satisfied in my account,19
recommend a local steak restaurant,17
play only songs by the beatles please,13
any good fast food items,21
what is the best italian restaurant around here,17
"uhh no, i think not right response.",7
post to facebook at the spa yay with a smiley face emoticon,19
i need to hear what you've said again.,10
confirm that please.,3
show me a list of places where my relatives have been based on their photos,20
do you want to play solitaire,12
good response to the command.,1
you've done it right.,8
let me know what maria has put on her facebook over the weekend,20
play my rock station on pandora,15
please can you confirm last thing said.,3
i want to play solitare with you,12
order takeout pizza from domino's for seven pm,21
i need to order some food from papa john's,21
start playing the hobbit,11
yeap you've understood the answer right.,1
send a tweet to apple that their batteries drain too fast,19
"would not mind to select any one, olly.",4
you are chatbot,9
please could you shut off.,2
check my facebook for notifications,20
what is the story of the movie titanic,9
elaborate further on what you've just said to me please.,5
please can you check that.,3
"doesn't matter, olly.",4
please further elaborate your response.,5
anything would be good.,4
order me a cheese burger from tommy's burgers,21
"olly that is all, just stop it.",2
would you please check the detail.,3
i want you check the last thing i said please.,3
is my friend rohit online on facebook,20
"wait, this is not the correct answer.",7
you are smart.,8
it's right.,1
What's close by for dinner,17
can you reset.,10
explain further.,5
open the two towers,11
i need to be cheered up right now can you tell me a good joke,6
this is unimportant.,4
tweet at united airlines i'm angry you lost my bags,19
anyone for tennis,12
anything i need to know,9
i need to submit a complaint,19
i want to hear play that funky music,13
your understanding was exact.,1
what plays are showing at the theatre,16
olly can you please shut down.,2
play my book,11
good food,0
play for me the game temple run,12
play from my last session of joes book,11
can you tell me a joke,6
i want you cancel.,2
play the podcast named ringcast,14
place order to pizza takeout for seven pm,21
bingo,9
would you like to play never have i ever,12
stop and try what i've just said once more.,10
i would like to pickup a veggie sub with a cookie from subway,21
whatever is okay for me.,4
what are the show times of logan,18
you didn't get it correctly.,7
"that's wonderful work, thank you.",8
please will you try again.,10
turn on flappy bird,12
play compassionate cook episode twenty three,14
which restaurants offer take out food,22
why do people use avocado seeds,0
inform about best circus near me,16
really wouldn't mind.,4
i like you cancel.,2
what is going on around me,16
let's try what you have said again.,10
yeah you've gotten my instructions right.,1
please go to the next episode of the podcast,14
check instagram,20
help me make brownies,0
i do not get the last sentence.,5
let me laugh hearing some good joke,6
you have done task all wrong.,7
play the davinci code,11
are there any fun things to do in seattle this weekend,16
play podcast episode new,14
what is your name,9
please tweet a complaint about slow service at applebee's,19
sorry.,10
"oh no, you did task all wrong.",7
start a match of chess,12
domino's has takeaway right,22
open social media account,20
radio one thousand and twenty seven,15
"you did nice job, thank you.",8
logan,18
please will you speak once again.,10
what do they have going on at young circle this week,16
could you tell me it one more time please.,10
play solitaire,12
do i have any private messages on any social media,20
what's new on facebook,20
"stop, this is not right answer.",7
olly please can you shut off.,2
find shoe shopping near my home,17
play music true love,13
open hershey twitter,19
"oh no, you did not get what i was searching for.",7
tell me a joke please,6
"olly that's all, just stop.",2
near by grocery,17
tell me once more.,10
call the nearest pizza place that offers buffalo pizza,21
play station gx in the radio,15
facebook,20
